,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.41,39.2,93,90,20.8,US,1609272684
1,te anau,-45.42,167.72,52.88,82,100,1.59,NZ,1609272685
2,hobart,-42.88,147.33,53.01,87,40,11.41,AU,1609272469
3,victoria,22.29,114.16,64,67,0,1.01,HK,1609272577
4,mataura,-46.19,168.86,59,85,100,7,NZ,1609272689
5,zyryanovsk,49.74,84.27,-9.69,72,100,0.98,KZ,1609272690
6,oranjestad,12.52,-70.03,86,55,20,12.75,AW,1609272692
7,lipin bor,60.26,37.98,9.57,94,100,12.55,RU,1609272693
8,mount gambier,-37.83,140.77,57.2,87,90,6.93,AU,1609272694
9,saskylakh,71.92,114.08,-22.63,86,98,13.4,RU,1609272695
10,leningradskiy,69.38,178.42,-7.98,88,100,1.57,RU,1609272696
11,oxford,51.75,-1.26,37.4,100,40,9.17,GB,1609272634
12,utete,-7.99,38.76,73.92,96,100,3.24,TZ,1609272699
13,lebu,-37.62,-73.65,61.95,66,0,8.63,CL,1609272700
14,mahebourg,-20.41,57.7,77,78,40,12.75,MU,1609272701
15,taltal,-25.4,-70.48,70.7,60,30,8.79,CL,1609272620
16,hilo,19.73,-155.09,73.99,88,90,6.93,US,1609272540
17,auki,-8.77,160.7,79.63,81,98,3.76,SB,1609272734
18,tuktoyaktuk,69.45,-133.04,-4,83,90,11.41,CA,1609272747
19,mayo,38.89,-76.51,41,35,1,10.29,US,1609272750
20,rikitea,-23.12,-134.97,77.77,78,100,12.24,PF,1609272618
21,gat,31.61,34.76,57.99,70,0,2.66,IL,1609272777
22,semarang,-6.99,110.42,75.56,91,100,1.92,ID,1609272539
23,vaini,-21.2,-175.2,73.4,100,90,6.93,TO,1609272780
24,saint george,37.1,-113.58,46.99,56,1,8.05,US,1609272434
25,alice springs,-23.7,133.88,66.2,42,10,5.82,AU,1609272783
26,bluff,-46.6,168.33,59,85,100,7,NZ,1609272785
27,chuy,-33.7,-53.46,79.3,58,0,12.1,UY,1609272786
28,kaya,13.09,-1.08,73.78,18,22,8.7,BF,1609272787
29,souillac,-20.52,57.52,77,78,40,12.75,MU,1609272789
30,cuiluan,47.72,128.65,-13.47,86,99,5.26,CN,1609272790
31,punta arenas,-53.15,-70.92,59,33,0,19.46,CL,1609272792
32,lujan,-34.57,-59.1,95,41,45,3.13,AR,1609272793
33,iqaluit,63.75,-68.51,3.2,59,75,18.34,CA,1609272794
34,ushuaia,-54.8,-68.3,55.4,43,40,3.36,AR,1609272691
35,mar del plata,-38,-57.56,77,73,20,17.22,AR,1609272797
36,wahiawa,21.5,-158.02,78.8,78,1,4.7,US,1609272798
37,barrow,71.29,-156.79,-7.6,76,75,11.41,US,1609272602
38,ribeira grande,38.52,-28.7,55.4,71,40,11.41,PT,1609272801
39,port elizabeth,-33.92,25.57,68,82,32,10.29,ZA,1609272802
40,cape town,-33.93,18.42,68,72,0,10.29,ZA,1609272574
41,qaanaaq,77.48,-69.36,9.63,88,56,4.09,GL,1609272804
42,saldanha,-33.01,17.94,66.2,68,0,4.7,ZA,1609272806
43,gravelbourg,49.88,-106.55,15.8,78,0,19.46,CA,1609272807
44,padang,-0.95,100.35,78.44,77,98,6.2,ID,1609272808
45,yellowknife,62.46,-114.35,-4,76,90,2.24,CA,1609272605
46,tiksi,71.69,128.87,-1.41,92,100,6.85,RU,1609272810
47,guerrero negro,27.98,-114.06,63.23,48,0,16.75,MX,1609272812
48,pacific grove,36.62,-121.92,55.99,66,1,5.82,US,1609272813
49,puerto del rosario,28.5,-13.86,64.4,68,40,8.05,ES,1609272814
50,port alfred,-33.59,26.89,70,90,100,3,ZA,1609272815
51,muncar,-8.43,114.33,77.18,87,95,5.12,ID,1609272669
52,ponta do sol,32.67,-17.1,59,77,75,8.05,PT,1609272818
53,castro,-24.79,-50.01,72.64,87,96,6.89,BR,1609272704
54,skibbereen,51.55,-9.27,35.6,80,0,13.87,IE,1609272820
55,laguna,38.42,-121.42,55.99,43,1,6.93,US,1609272821
56,yumen,40.28,97.2,3,81,0,18.75,CN,1609272822
57,pachino,36.72,15.09,53.6,87,3,3.36,IT,1609272824
58,nikolskoye,59.7,30.79,28.4,86,90,17.9,RU,1609272825
59,san pedro,14.35,121.02,77,94,20,3.36,PH,1609272826
60,yerbogachen,61.28,108.01,-25.1,83,0,6.64,RU,1609272827
61,bassano,50.78,-112.47,17.6,78,0,4.7,CA,1609272828
62,carnarvon,-24.87,113.63,77,94,90,9.17,AU,1609272830
63,saint-pierre,-21.34,55.48,77,69,0,21.92,RE,1609272831
64,rossland,49.08,-117.8,19.99,96,100,8.01,CA,1609272832
65,airai,-8.93,125.41,61.54,100,99,1.39,TL,1609272834
66,kapaa,22.08,-159.32,75.99,83,75,4.7,US,1609272835
67,dikson,73.51,80.55,-23.46,82,0,5.86,RU,1609272836
68,chateauroux,46.82,1.7,39.2,93,63,13.87,FR,1609272838
69,yabelo,4.88,38.08,65.08,56,0,16.28,ET,1609272840
70,puerto ayora,-0.74,-90.35,82.4,61,40,19.46,EC,1609272841
71,arraial do cabo,-22.97,-42.03,77,78,75,13.87,BR,1609272843
72,natal,-5.79,-35.21,86,62,20,19.46,BR,1609272796
73,khatanga,71.97,102.5,-31.59,84,95,9.13,RU,1609272845
74,atuona,-9.8,-139.03,78.75,74,0,16.15,PF,1609272846
75,bima,-8.47,118.72,76.1,85,97,2.21,ID,1609272848
76,cidreira,-30.18,-50.21,77.59,79,15,13.18,BR,1609272849
77,sabang,5.89,95.32,81.66,77,100,12.28,ID,1609272850
78,east london,-33.02,27.91,74.21,85,100,15.05,ZA,1609272852
79,adrar,20.5,-10.07,73.81,34,97,2.95,MR,1609272853
80,busselton,-33.65,115.33,66.99,67,65,1.01,AU,1609272854
81,berlevag,70.86,29.09,32,95,75,18.34,NO,1609272856
82,bathsheba,13.22,-59.52,80.6,78,75,6.93,BB,1609272857
83,albany,42.6,-73.97,30.99,42,100,4,US,1609272391
84,cassilandia,-19.11,-51.73,89.53,45,65,3.69,BR,1609272870
85,marsh harbour,26.54,-77.06,72.3,66,33,21.23,BS,1609272872
86,nadadores,27.05,-101.6,79,38,8,3,MX,1609272873
87,mount isa,-20.73,139.5,75.2,83,40,4.7,AU,1609272811
88,coquimbo,-29.95,-71.34,68,64,20,16.11,CL,1609272797
89,klaksvik,62.23,-6.59,33.8,84,100,32.21,FO,1609272878
90,chumikan,54.72,135.31,-21.51,80,100,21.09,RU,1609272885
